,CollegeName,TotalRegistrations,State
39,GLWC - GOKARAJU LAILAVATHI WOMENS ENGINEERING COLLEGE,8,Telangana
40,ACEG - A C E ENGINEERING COLLEGE (AUTONOMOUS),7,Telangana
41,METH - METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),7,Telangana
42,VMTW - VIGNANS INST OF MANAGEMENT AND TECH FOR WOMEN,6,Telangana
43,JBIT - J B INSTITUTE OF ENGG AND TECHNOLOGY,5,Telangana
44,NGIT - NEIL GOGTE INST OF TECHNOLOGY,5,Telangana
46,SNTI - SCIENT INSTITUTE OF TECHNOLOGY,5,Telangana
47,VGWL - VAGDEVI ENGINEERING COLLEGE,5,Telangana
48,MLRS - MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),5,Telangana
50,INDI - SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,5,Telangana
51,KMEC - KESHAV MEMORIAL ENGINEERING COLLEGE,4,Telangana
53,CVRH - CVR COLLEGE OF ENGINEERING,4,Telangana
54,IOES -GOVERNMENT INSTITUTE OF ELECTRONICS,4,Telangana
56,CMRN - CMR ENGG COLLEGE (AUTONOMOUS),4,Telangana
57,SMSK - SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY,4,Telangana
58,SRHP - SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),4,Telangana
59,MRU - MALLA REDDY UNIVERSITY,4,Telangana
60,JNTHMT - JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,3,Telangana
61,MLID - M L R INSTITUTE OF TECHNOLOGY,3,Telangana
62,ICFAI TECH,3,Telangana
63,ELEN - ELLENKI COLLGE OF ENGG AND TECHNOLOGY,3,Telangana
64,SVIT - SWAMI VIVEKANANDA INST OF TECHNOLOGY,3,Telangana
65,AVNI - AVN INST OF ENGG TECHNOLOGY,3,Telangana
66,MREW - MALLA REDDY COLLEGE OF ENGINEERING FOR WOMEN,3,Telangana
68,ICFAI FOUNDATION FOR HIGHER EDUCATION,3,Telangana
69,SRYS - SREYAS INST OF ENGG AND TECHNOLOGY,2,Telangana
71,BREW - BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,2,Telangana
72,BALAJI INSTITUTE OF TECHNOLOGY AND SCIENCE,2,Telangana
73,GNIT - GURUNANAK INST OF TECHNOLOGY,2,Telangana
74,INDU - SRI INDU COLLEGE OF ENGG AND TECHNOLOGY,2,Telangana
75,IFHE,2,Telangana
76,MRIT - MALLAREDDY INST OF TECHNOLOGY AND SCI,2,Telangana
78,MRCW - MALLA REDDY ENGG COLLEGE FOR WOMEN (AUTONOMOUS),2,Telangana
79,CMRK - C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),2,Telangana
80,BRIL - BRILLIANT INSTT OF ENGG AND TECHNOLOGY,1,Telangana
81,ANRK - ANURAG ENGINEERING COLLGE,1,Telangana
83,MLTM - MALLA REDDY INSTITUTE OF TECHNOLOGY,1,Telangana
84,JNKR - JNTU COLLEGE OF ENGINEERING JAGITIAL,1,Telangana
85,MHVR - MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,1,Telangana
86,MALLA REDDY ENGINEERING COLLEGE FOR WOMEN,1,Telangana
87,KNRR - KASIREDDY NARAYANAREDDY COLL ENGG RES,1,Telangana
88,KUWL - KAKATIYA UNIVERSITY,1,Telangana
89,MALLA REDDY COLLEGE OF ENGINEERING,1,Telangana
93,HITM - HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),1,Telangana
95,ICFAI-ICFAI UNIVERSITY,1,Telangana
96,ICFAI UNIVERSITY HYDERABAD,1,Telangana
98,CBIT - CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,1,Telangana
99,CMRG - CMR TECHNICAL CAMPUS (AUTONOMOUS),1,Telangana
103,JNTM - JNTU COLLEGE OF ENGG MANTHANI,1,Telangana
104,JOGI - JOGINPALLY B R ENGINEERING COLLEGE,1,Telangana
108,SISG - SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,1,Telangana
